Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Ismael Aaneba,fr,DF,Strasbourg,Ligue 1,21,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,1
2,Patrick van Aanholt,nl,DF,Crystal Palace,Premier League,29,1990,19.7,35,22,18,17,0,19,43,44.2,24,18,6,12,30,65,40
3,Yunis Abdelhamid,ma,DF,Reims,Ligue 1,32,1987,32.1,59,37,36,23,0,26,42,61.9,16,34,15,19,61,120,132
4,Sabit Abdulai,gh,MF,Getafe,La Liga,21,1999,0.7,2,0,1,1,0,1,3,33.3,2,0,0,0,0,2,0
5,Mehdi Abeid,dz,MF,Nantes,Ligue 1,27,1992,14.7,34,19,16,14,4,15,30,50.0,15,9,2,7,20,54,10
6,Laurent Abergel,fr,MF,Lorient,Ligue 1,27,1993,32.9,145,84,64,69,12,54,162,33.3,108,64,6,58,46,191,12
7,Charles Abi,fr,FW,Saint-Étienne,Ligue 1,20,2000,10.1,8,2,5,0,3,3,12,25.0,9,6,2,4,4,12,5
8,Matthis Abline,fr,FW,Rennes,Ligue 1,17,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
9,Pape Abou Cissé,sn,DF,Saint-Étienne,Ligue 1,24,1995,14.0,15,13,10,5,0,6,10,60.0,4,7,4,3,27,42,87
10,David Abraham,ar,DF,Eint Frankfurt,Bundesliga,34,1986,13.6,18,12,13,3,2,11,17,64.7,6,13,4,9,17,35,34
11,Tammy Abraham,eng,FW,Chelsea,Premier League,22,1997,11.6,7,5,3,3,1,1,7,14.3,6,6,0,6,5,12,17
12,Amir Abrashi,al,MF,Freiburg,Bundesliga,30,1990,0.7,1,1,1,0,0,0,0,,0,1,1,0,2,3,1
13,Gennaro Acampora,it,MF,Spezia,it Serie A,26,1994,4.9,6,4,1,4,1,2,7,28.6,5,4,1,3,4,10,4
14,Francesco Acerbi,it,DF,Lazio,it Serie A,32,1988,31.3,51,32,34,13,4,18,40,45.0,22,24,15,9,76,127,121
15,Ragnar Ache,de,FW,Eint Frankfurt,Bundesliga,22,1998,1.1,2,0,0,1,1,0,0,,0,1,0,1,1,3,1
16,Marcos Acuña,ar,DF,Sevilla,La Liga,28,1991,25.9,62,42,34,20,8,23,41,56.1,18,23,2,21,23,85,30
17,Che Adams,sct,FW,Southampton,Premier League,24,1996,29.6,25,16,4,15,6,6,17,35.3,11,20,2,18,4,29,19
18,Tyler Adams,us,MF,RB Leipzig,Bundesliga,21,1999,20.6,35,24,12,15,8,17,31,54.8,14,22,5,17,29,64,30
19,Sargis Adamyan,am,FW,Hoffenheim,Bundesliga,27,1993,5.3,9,4,4,3,2,7,14,50.0,7,2,0,2,6,15,1
20,Tosin Adarabioyo,eng,DF,Fulham,Premier League,22,1997,32.8,37,19,30,6,1,19,40,47.5,21,26,20,6,42,79,197
21,Bobby Adekanye,nl,FW,Cádiz,La Liga,21,1999,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1
22,Yacine Adli,fr,MF,Bordeaux,Ligue 1,20,2000,26.9,74,37,30,33,11,35,92,38.0,57,27,2,25,39,113,17
23,Andrea Adorante,it,FW,Parma,it Serie A,20,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
24,Adrián,es,GK,Liverpool,Premier League,33,1987,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3
25,Martin Agirregabiria,es,DF,Alavés,La Liga,24,1996,17.3,32,18,17,12,3,17,33,51.5,16,9,3,6,27,59,36
26,Lucien Agoume,fr,MF,Spezia,it Serie A,18,2002,8.9,18,10,11,7,0,6,19,31.6,13,10,5,5,15,33,10
27,Felix Agu,de,DF,Werder Bremen,Bundesliga,20,1999,7.8,20,9,10,9,1,10,18,55.6,8,14,3,11,12,32,18
28,Kevin Agudelo,co,FW,Spezia,it Serie A,21,1998,15.1,39,28,9,15,15,12,34,35.3,22,30,0,30,10,49,2
29,Nayef Aguerd,ma,DF,Rennes,Ligue 1,24,1996,35.0,37,30,28,9,0,21,33,63.6,12,34,22,12,47,84,102
30,Sergio Agüero,ar,FW,Manchester City,Premier League,32,1988,6.2,4,1,0,2,2,2,11,18.2,9,2,0,2,2,6,0
31,Ruben Aguilar,fr,DF,Monaco,Ligue 1,27,1993,24.7,63,37,32,21,10,32,52,61.5,20,30,3,27,47,110,43
32,Naouirou Ahamada,fr,MF,Stuttgart,Bundesliga,18,2002,2.8,4,1,3,1,0,1,1,100.0,0,2,0,2,1,5,1
33,Matteo Ahlinvi,bj,MF,Nîmes,Ligue 1,21,1999,10.0,26,20,10,14,2,11,39,28.2,28,6,0,6,2,28,8
34,Jean-Eudes Aholou,ci,MF,Strasbourg,Ligue 1,26,1994,23.8,46,25,18,25,3,19,48,39.6,29,17,5,12,53,99,32
35,Jean-Eudes Aholou,ci,MF,Monaco,Ligue 1,26,1994,0.4,1,0,0,1,0,1,3,33.3,2,0,0,0,1,2,1
36,Joseph Aidoo,gh,DF,Celta Vigo,La Liga,24,1995,14.3,26,17,17,9,0,12,21,57.1,9,7,4,3,25,51,88
37,Ola Aina,ng,DF,Fulham,Premier League,23,1996,29.6,37,20,22,7,8,21,43,48.8,22,22,6,16,45,82,94
38,Rayan Aït-Nouri,dz,DF,Wolves,Premier League,19,2001,15.6,29,16,18,10,1,13,27,48.1,14,14,1,13,15,44,25
39,Rayan Aït-Nouri,dz,DF,Angers,Ligue 1,19,2001,2.1,3,2,1,2,0,3,5,60.0,2,2,1,1,4,7,1
40,Semi Ajayi,ng,DF,West Brom,Premier League,26,1993,30.9,40,14,34,6,0,23,41,56.1,18,51,32,19,42,82,122
41,Ludovic Ajorque,fr,FW,Strasbourg,Ligue 1,26,1994,33.0,30,18,6,18,6,7,31,22.6,24,14,5,9,11,41,54
42,Manuel Akanji,ch,DF,Dortmund,Bundesliga,25,1995,26.1,41,22,23,12,6,19,31,61.3,12,23,10,13,49,90,70
43,Carlos Akapo,gq,DF,Cádiz,La Liga,27,1993,9.6,18,14,14,4,0,10,18,55.6,8,16,3,13,19,37,33
44,Marley Aké,fr,FW,Marseille,Ligue 1,19,2001,1.6,3,3,1,0,2,0,1,0.0,1,2,0,2,0,3,1
45,Nathan Aké,nl,DF,Manchester City,Premier League,25,1995,8.9,10,5,3,6,1,3,4,75.0,1,2,1,1,9,19,23
46,Paul Akouokou,ci,MF,Betis,La Liga,22,1997,4.2,11,8,2,8,1,5,8,62.5,3,3,1,2,6,17,7
47,Jean-Daniel Akpa-Akpro,ci,MF,Lazio,it Serie A,27,1992,11.7,38,25,13,22,3,8,27,29.6,19,24,6,18,18,56,13
48,Kevin Akpoguma,ng,DF,Hoffenheim,Bundesliga,25,1995,13.2,18,12,11,6,1,8,14,57.1,6,28,15,13,13,31,32
49,David Alaba,at,DF,Bayern Munich,Bundesliga,28,1992,29.7,37,21,14,19,4,17,32,53.1,15,29,13,16,43,80,60
50,Sofiane Alakouch,ma,DF,Nîmes,Ligue 1,22,1998,16.7,53,33,30,16,7,29,45,64.4,16,17,2,15,21,74,38
51,Jony Álamo,es,MF,Elche,La Liga,18,2001,0.8,2,1,1,0,1,0,1,0.0,1,0,0,0,1,3,0
52,Lucas Alario,ar,FW,Leverkusen,Bundesliga,27,1992,13.8,8,2,2,5,1,2,4,50.0,2,9,1,8,2,10,10
53,Jordi Alba,es,DF,Barcelona,La Liga,31,1989,33.6,45,30,22,16,7,24,52,46.2,28,21,2,19,49,94,48
54,Luis Alberto,es,MF,Lazio,it Serie A,27,1992,29.1,43,24,15,19,9,15,73,20.5,58,41,2,39,13,56,11
55,Raúl Albiol,es,DF,Villarreal,La Liga,34,1985,34.6,22,15,19,3,0,13,18,72.2,5,32,22,10,22,44,146
56,Marc Albrighton,eng,DF,Leicester City,Premier League,30,1989,19.4,33,19,14,15,4,16,45,35.6,29,29,3,26,17,50,27
57,Paco Alcácer,es,FW,Villarreal,La Liga,26,1993,17.2,6,3,1,2,3,3,7,42.9,4,8,0,8,9,15,6
58,Pedro Alcalá,es,DF,Cádiz,La Liga,31,1989,10.1,8,4,6,2,0,3,5,60.0,2,19,13,6,16,24,50
59,Thiago Alcántara,es,MF,Liverpool,Premier League,29,1991,20.6,61,36,20,30,11,17,49,34.7,32,26,0,26,30,91,14
60,Rubén Alcaraz,es,MF,Valladolid,La Liga,29,1991,24.1,54,29,32,21,1,30,80,37.5,50,35,8,27,31,85,28
61,Omar Alderete,py,DF,Hertha BSC,Bundesliga,23,1996,14.4,16,10,11,5,0,7,16,43.8,9,14,10,4,21,37,61
62,Toby Alderweireld,be,DF,Tottenham,Premier League,31,1989,24.9,35,22,22,11,2,18,30,60.0,12,40,28,12,10,45,121
63,Iván Alejo,es,MF,Cádiz,La Liga,25,1995,9.2,14,10,8,4,2,4,23,17.4,19,14,1,13,3,17,10
64,Carles Aleñá,es,MF,Barcelona,La Liga,22,1998,0.5,1,0,1,0,0,0,0,,0,0,0,0,0,1,0
65,Carles Aleñá,es,MF,Getafe,La Liga,22,1998,15.2,15,10,3,9,3,7,25,28.0,18,14,1,13,2,17,2
66,Rúnar Alex Rúnarsson,is,GK,Arsenal,Premier League,25,1995,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
67,Trent Alexander-Arnold,eng,DF,Liverpool,Premier League,21,1998,33.7,56,33,31,18,7,36,56,64.3,20,24,3,21,49,105,50
68,Alfon,es,MF,Celta Vigo,La Liga,21,1999,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
69,Mohamed Ali Cho,fr,FW,Angers,Ligue 1,16,2004,3.9,9,7,2,6,1,4,9,44.4,5,4,0,4,3,12,0
70,Ezgjan Alioski,mk,DF,Leeds United,Premier League,28,1992,27.3,74,31,38,28,8,32,74,43.2,42,17,2,15,23,97,50
71,Rachid Alioui,ma,FW,Angers,Ligue 1,28,1992,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0
72,Alisson,br,GK,Liverpool,Premier League,27,1992,33.0,3,2,3,0,0,3,4,75.0,1,0,0,0,2,5,26
73,Saturnin Allagbé,bj,GK,Dijon,Ligue 1,26,1993,12.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9
74,Allan,br,MF,Everton,Premier League,29,1991,22.8,80,45,39,37,4,28,95,29.5,67,31,12,19,19,99,25
75,Dele Alli,eng,MF,Tottenham,Premier League,24,1996,6.9,18,11,8,6,4,7,19,36.8,12,9,0,9,7,25,3
76,Miguel Almirón,py,MF,Newcastle Utd,Premier League,26,1994,27.0,49,29,21,25,3,14,56,25.0,42,23,4,19,25,74,20
77,Marcos Alonso,es,DF,Chelsea,Premier League,29,1990,10.7,13,3,6,4,3,7,14,50.0,7,12,1,11,12,25,30
78,Sergio Álvarez,es,MF,Eibar,La Liga,28,1992,17.4,42,25,13,26,3,8,22,36.4,14,22,5,17,22,64,24
79,Yeray Álvarez,es,DF,Athletic Club,La Liga,25,1995,21.6,19,12,11,8,0,9,21,42.9,12,12,5,7,53,72,73
80,Bruno Alves,pt,DF,Parma,it Serie A,38,1981,18.1,13,10,10,3,0,7,9,77.8,2,17,12,5,26,39,81
81,Steven Alzate,co,MF,Brighton,Premier League,21,1998,10.0,17,8,10,4,3,6,15,40.0,9,8,1,7,8,25,10
82,Ibrahim Amadou,fr,MF,Angers,Ligue 1,27,1993,16.7,39,26,18,19,2,15,38,39.5,23,14,4,10,23,62,25
83,Romain Amalfitano,fr,FW,Dijon,Ligue 1,30,1989,1.3,4,2,3,1,0,1,3,33.3,2,2,1,1,1,5,1
84,Emmanuel Amankwaa Akurugu,gh,DF,Getafe,La Liga,18,2001,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,1
85,Daniel Amartey,gh,DF,Leicester City,Premier League,25,1994,8.0,11,7,6,4,1,8,12,66.7,4,8,4,4,12,23,26
86,Jordan Amavi,fr,DF,Marseille,Ligue 1,26,1994,9.0,11,9,9,1,1,9,12,75.0,3,12,2,10,27,38,33
