Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Max Aarons,eng,DF,,Bournemouth,Premier League,23,2000,13.7,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27
2,Brenden Aaronson,us,MF,FW,Union Berlin,Bundesliga,22,2000,14.1,32,18,13,13,6,16,32,50.0,16,26,1,25,2,34,4
3,Paxten Aaronson,us,MF,,Eint Frankfurt,Bundesliga,19,2003,1.1,2,2,1,1,0,1,1,100.0,0,2,0,2,0,2,0
4,Keyliane Abdallah,fr,FW,,Marseille,Ligue 1,17,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
5,Yunis Abdelhamid,ma,DF,,Reims,Ligue 1,35,1987,30.9,64,35,36,23,5,26,45,57.8,19,51,32,19,39,103,109
6,Salis Abdul Samed,gh,MF,,Lens,Ligue 1,23,2000,16.9,21,14,8,10,3,8,18,44.4,10,12,1,11,12,33,18
7,Nabil Aberdin,fr,DF,,Getafe,La Liga,20,2002,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4
8,Laurent Abergel,fr,MF,,Lorient,Ligue 1,30,1993,31.8,85,52,43,34,8,38,96,39.6,58,29,6,23,61,146,61
9,Matthis Abline,fr,FW,,Nantes,Ligue 1,20,2003,11.6,9,4,4,3,2,3,8,37.5,5,3,0,3,3,12,5
10,Abner,br,DF,,Betis,La Liga,23,2000,15.6,25,19,15,9,1,17,34,50.0,17,23,5,18,15,40,62
11,Zakaria Aboukhlal,ma,MF,FW,Toulouse,Ligue 1,23,2000,8.4,9,8,1,5,3,3,12,25.0,9,9,1,8,1,10,2
12,Abdel Abqar,ma,DF,,Alavés,La Liga,24,1999,25.7,35,19,28,5,2,21,35,60.0,14,31,26,5,23,58,115
13,Tammy Abraham,eng,FW,,Roma,Serie A,25,1997,2.7,3,1,0,1,2,0,0,,0,1,0,1,0,3,4
14,Francesco Acerbi,it,DF,,Inter,Serie A,35,1988,26.5,22,13,16,6,0,11,14,78.6,3,20,13,7,32,54,77
15,Joshua Acheampong,eng,DF,,Chelsea,Premier League,17,2006,0.1,0,0,0,0,0,0,0,,0,3,3,0,0,0,0
16,Marcos Acuña,ar,DF,,Sevilla,La Liga,31,1991,14.4,33,21,20,12,1,9,14,64.3,5,12,2,10,4,37,25
17,Akor Adams,ng,FW,,Montpellier,Ligue 1,23,2000,25.0,12,4,3,4,5,3,7,42.9,4,9,2,7,5,17,11
18,Tyler Adams,us,MF,,Bournemouth,Premier League,24,1999,1.3,4,3,1,3,0,2,3,66.7,1,2,0,2,4,8,2
19,Junior Adamu,at,FW,MF,Freiburg,Bundesliga,22,2001,1.2,5,1,1,2,2,1,2,50.0,1,1,0,1,0,5,2
20,Sargis Adamyan,am,FW,MF,Köln,Bundesliga,30,1993,8.9,14,9,2,9,3,6,11,54.5,5,16,1,15,5,19,7
21,Tosin Adarabioyo,eng,DF,,Fulham,Premier League,25,1997,18.0,21,11,16,5,0,12,21,57.1,9,16,11,5,25,46,80
22,Elijah Adebayo,eng,FW,,Luton Town,Premier League,25,1998,15.8,4,1,1,0,3,1,12,8.3,11,13,2,11,6,10,25
23,Karim Adeyemi,de,FW,MF,Dortmund,Bundesliga,21,2002,10.1,16,14,9,4,3,8,20,40.0,12,11,0,11,3,19,5
24,Simon Adingra,ci,FW,,Brighton,Premier League,21,2002,24.7,45,20,23,11,11,19,42,45.2,23,31,1,30,19,64,22
25,Nathaniel Adjei,gh,DF,,Lorient,Ligue 1,20,2002,13.8,13,9,8,3,2,6,7,85.7,1,15,8,7,18,31,64
26,Amine Adli,ma,MF,FW,Leverkusen,Bundesliga,23,2000,10.0,16,7,2,10,4,7,17,41.2,10,10,2,8,6,22,5
27,Yacine Adli,fr,MF,,Milan,Serie A,23,2000,15.6,34,17,17,13,4,13,35,37.1,22,22,8,14,20,54,15
28,Adryelson,br,DF,FW,Lyon,Ligue 1,25,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,3
29,Adson,br,MF,FW,Nantes,Ligue 1,22,2000,2.6,7,6,1,6,0,2,2,100.0,0,5,0,5,2,9,2
30,Michel Aebischer,ch,MF,,Bologna,Serie A,26,1997,24.8,35,20,9,20,6,15,34,44.1,19,28,6,22,12,47,22
31,Emmanuel Agbadou,ci,DF,,Reims,Ligue 1,26,1997,28.8,65,41,38,23,4,44,64,68.8,20,47,25,22,55,120,116
32,Julen Agirrezabala,es,GK,,Athletic Club,La Liga,22,2000,2.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
33,Lucien Agoume,fr,MF,,Inter,Serie A,21,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
34,Lucien Agoume,fr,MF,,Sevilla,La Liga,21,2002,8.6,23,18,7,14,2,9,12,75.0,3,6,1,5,7,30,8
35,Felix Agu,de,DF,MF,Werder Bremen,Bundesliga,23,1999,17.9,45,29,28,13,4,29,41,70.7,12,27,7,20,13,58,41
36,Nayef Aguerd,ma,DF,,West Ham,Premier League,27,1996,20.6,26,14,19,7,0,16,22,72.7,6,33,24,9,17,43,85
37,Ruben Aguilar,fr,DF,,Lens,Ligue 1,30,1993,21.4,53,31,27,23,3,27,45,60.0,18,35,5,30,26,79,46
38,Brandon Aguilera,cr,FW,,Nott'ham Forest,Premier League,20,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
39,Naouirou Ahamada,fr,MF,FW,Crystal Palace,Premier League,21,2002,3.9,13,9,5,6,2,8,17,47.1,9,3,0,3,2,15,4
40,Anel Ahmedhodžić,ba,DF,,Sheffield Utd,Premier League,24,1999,29.4,64,36,48,14,2,30,49,61.2,19,43,26,17,35,99,137
41,Joseph Aidoo,gh,DF,,Celta Vigo,La Liga,27,1995,4.5,8,3,6,2,0,4,8,50.0,4,3,1,2,4,12,28
42,Ola Aina,ng,DF,,Nott'ham Forest,Premier League,26,1996,18.8,47,31,31,12,4,29,41,70.7,12,19,3,16,18,65,51
43,Rayan Aït-Nouri,dz,DF,MF,Wolves,Premier League,22,2001,25.9,71,44,41,23,7,28,49,57.1,21,32,6,26,15,86,38
44,Tosin Aiyegun,bj,MF,FW,Lorient,Ligue 1,25,1998,10.0,6,4,2,3,1,3,9,33.3,6,4,1,3,2,8,8
45,Kristoffer Ajer,no,DF,,Brentford,Premier League,25,1998,20.4,38,21,25,9,4,23,36,63.9,13,26,11,15,25,63,79
46,Ludovic Ajorque,fr,FW,,Mainz 05,Bundesliga,29,1994,15.1,3,2,1,2,0,2,11,18.2,9,6,2,4,4,7,11
47,Manuel Akanji,ch,DF,MF,Manchester City,Premier League,28,1995,27.9,42,28,16,18,8,22,39,56.4,17,28,12,16,23,65,70
48,Marley Aké,fr,FW,,Udinese,Serie A,22,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
49,Nathan Aké,nl,DF,,Manchester City,Premier League,28,1995,22.7,26,16,15,8,3,13,20,65.0,7,17,2,15,14,40,54
50,Ilias Akhomach,ma,MF,FW,Villarreal,La Liga,19,2004,16.8,36,21,11,16,9,10,20,50.0,10,10,2,8,13,49,13
51,Sergio Akieme,es,DF,,Almería,La Liga,25,1997,18.6,27,15,18,7,2,13,16,81.3,3,14,4,10,10,37,34
52,Sergio Akieme,es,DF,,Reims,Ligue 1,25,1997,9.1,11,5,6,3,2,8,11,72.7,3,9,3,6,10,21,25
