Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1,Rodrigo Abajas,es,DF,,Valencia,La Liga,21,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
2,James Abankwah,ie,DF,,Udinese,Serie A,20,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Keyliane Abdallah,fr,FW,,Marseille,Ligue 1,18,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Yunis Abdelhamid,ma,DF,,Saint-Étienne,Ligue 1,37,1987,6,6,531,5.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,2,12,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
5,Himad Abdelli,dz,MF,FW,Angers,Ligue 1,24,1999,8,8,709,7.9,2,0,2,0,2,3,1,0,2.7,0.3,1.0,1.3,29,51,36,0.25,0.00,0.25,0.00,0.00,0.34,0.13,0.47,0.04,0.17
6,Mohamed Abdelmoneim,eg,DF,,Nice,Ligue 1,25,1999,4,3,248,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,13,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Ali Abdi,tn,DF,MF,Nice,Ligue 1,30,1993,5,3,311,3.5,1,0,1,1,0,0,1,0,0.6,0.6,0.7,1.3,7,5,23,0.29,0.00,0.29,0.29,0.29,0.16,0.20,0.36,0.16,0.36
8,Abel,es,DF,,Osasuna,La Liga,24,2000,9,8,701,7.8,2,0,2,2,0,0,1,0,0.2,0.2,0.3,0.5,14,34,15,0.26,0.00,0.26,0.26,0.26,0.03,0.04,0.07,0.03,0.07
9,Nabil Aberdin,fr,MF,,Getafe,La Liga,22,2002,6,3,233,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02
10,Oliver Abildgaard,dk,MF,,Como,Serie A,28,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
