Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
1,Brenden Aaronson,us,MF,FW,Leeds United,Premier League,21,2000,26.4,95,3.60,57,17,7,5,8,1,7,0.27,57,17,7,5,8,1
2,Paxten Aaronson,us,MF,DF,Eint Frankfurt,Bundesliga,18,2003,1.9,8,4.16,4,1,0,2,1,0,2,1.04,4,1,0,2,1,0
3,James Abankwah,ie,DF,,Udinese,Serie A,18,2004,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
4,George Abbott,eng,MF,,Tottenham,Premier League,16,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
5,Yunis Abdelhamid,ma,DF,,Reims,Ligue 1,34,1987,37.0,43,1.16,34,0,2,5,0,2,7,0.19,34,0,2,5,0,2
6,Himad Abdelli,dz,MF,FW,Angers,Ligue 1,22,1999,23.7,69,2.91,59,4,3,1,0,2,3,0.13,59,4,3,1,0,2
7,Salis Abdul Samed,gh,MF,,Lens,Ligue 1,22,2000,32.2,50,1.55,43,0,2,2,2,1,1,0.03,43,0,2,2,2,1
8,Laurent Abergel,fr,MF,,Lorient,Ligue 1,29,1993,26.0,33,1.27,27,2,2,1,0,1,1,0.04,27,2,2,1,0,1
9,Oliver Abildgaard,dk,MF,,Hellas Verona,Serie A,26,1996,6.6,9,1.37,8,0,0,1,0,0,0,0.00,8,0,0,1,0,0
10,Matthis Abline,fr,FW,MF,Auxerre,Ligue 1,19,2003,9.0,15,1.67,8,0,5,0,2,0,3,0.33,8,0,5,0,2,0
11,Matthis Abline,fr,FW,MF,Rennes,Ligue 1,19,2003,1.2,7,5.94,2,0,0,3,1,1,2,1.70,2,0,0,3,1,1
12,Abner,br,DF,,Betis,La Liga,22,2000,6.7,8,1.18,5,1,1,1,0,0,1,0.15,5,1,1,1,0,0
13,Zakaria Aboukhlal,ma,FW,MF,Toulouse,Ligue 1,22,2000,27.5,80,2.91,44,1,10,13,10,2,8,0.29,44,1,10,13,10,2
14,Tammy Abraham,eng,FW,,Roma,Serie A,24,1997,24.3,70,2.88,46,0,7,10,7,0,9,0.37,46,0,7,10,7,0
15,Christian Acella,it,MF,,Cremonese,Serie A,20,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
16,Francesco Acerbi,it,DF,,Inter,Serie A,34,1988,26.9,37,1.37,34,1,0,2,0,0,1,0.04,34,1,0,2,0,0
17,Álvaro Aceves,es,GK,,Valladolid,La Liga,19,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
18,Mohamed Achi,fr,FW,,Nantes,Ligue 1,20,2002,0.4,1,2.50,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0
19,Marcos Acuña,ar,DF,,Sevilla,La Liga,30,1991,21.2,65,3.04,45,14,3,3,0,0,4,0.19,45,14,3,3,0,0
20,Che Adams,sct,FW,,Southampton,Premier League,26,1996,22.1,57,2.57,44,1,2,5,5,0,7,0.32,44,1,2,5,5,0
21,Tyler Adams,us,MF,,Leeds United,Premier League,23,1999,24.0,43,1.79,42,0,0,0,1,0,1,0.04,42,0,0,0,1,0
22,Sargis Adamyan,am,FW,MF,Köln,Bundesliga,29,1993,7.2,22,3.07,16,0,0,6,0,0,3,0.42,16,0,0,6,0,0
23,Tosin Adarabioyo,eng,DF,,Fulham,Premier League,24,1997,23.2,18,0.78,15,0,0,3,0,0,0,0.00,15,0,0,3,0,0
24,Martin Adeline,fr,MF,FW,Reims,Ligue 1,18,2003,1.2,2,1.68,2,0,0,0,0,0,0,0.00,2,0,0,0,0,0
25,Karim Adeyemi,de,FW,MF,Dortmund,Bundesliga,20,2002,15.4,59,3.83,40,0,8,5,4,2,12,0.78,40,0,8,5,4,2
26,Amine Adli,ma,FW,MF,Leverkusen,Bundesliga,22,2000,15.9,56,3.50,36,3,4,4,8,1,11,0.69,36,3,4,4,8,1
27,Yacine Adli,fr,MF,FW,Milan,Serie A,22,2000,1.6,3,1.87,2,1,0,0,0,0,1,0.62,2,1,0,0,0,0
28,Michel Aebischer,ch,FW,MF,Bologna,Serie A,25,1997,17.1,35,2.04,25,3,2,2,2,1,3,0.18,25,3,2,2,2,1
29,Felix Afena-Gyan,gh,FW,MF,Cremonese,Serie A,19,2003,9.1,15,1.65,10,0,1,4,0,0,1,0.11,10,0,1,4,0,0
30,Emmanuel Agbadou,ci,DF,,Reims,Ligue 1,25,1997,26.5,31,1.17,26,1,0,4,0,0,3,0.11,26,1,0,4,0,0
31,Julen Agirrezabala,es,GK,,Athletic Club,La Liga,21,2000,7.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
32,Lucien Agoume,fr,MF,,Troyes,Ligue 1,20,2002,12.2,27,2.22,23,3,0,1,0,0,1,0.08,23,3,0,1,0,0
33,Felix Agu,de,DF,FW,Werder Bremen,Bundesliga,22,1999,0.5,4,7.20,3,1,0,0,0,0,0,0.00,3,1,0,0,0,0
34,Álvaro Aguado,es,MF,,Valladolid,La Liga,26,1996,21.0,76,3.62,56,13,3,0,4,0,4,0.19,56,13,3,0,4,0
35,Kevin Agudelo,co,MF,FW,Spezia,Serie A,23,1998,23.7,59,2.49,41,1,9,4,4,0,3,0.13,41,1,9,4,4,0
