Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
1,Max Aarons,eng,DF,Bournemouth,Premier League,23,2000,13.7,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0
2,Brenden Aaronson,us,MF/FW,Union Berlin,Bundesliga,22,2000,14.1,53,3.76,41,1,8,3,0,0,8,0.57,6,0,2,0,0,0
3,Paxten Aaronson,us,MF,Eint Frankfurt,Bundesliga,19,2003,1.1,1,0.89,1,0,0,0,0,0,1,0.89,1,0,0,0,0,0
4,Keyliane Abdallah,fr,FW,Marseille,Ligue 1,17,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
5,Yunis Abdelhamid,ma,DF,Reims,Ligue 1,35,1987,30.9,24,0.78,19,1,0,3,1,0,1,0.03,0,0,0,1,0,0
6,Salis Abdul Samed,gh,MF,Lens,Ligue 1,23,2000,16.9,27,1.60,27,0,0,0,0,0,3,0.18,3,0,0,0,0,0
7,Nabil Aberdin,fr,DF,Getafe,La Liga,20,2002,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
8,Laurent Abergel,fr,MF,Lorient,Ligue 1,30,1993,31.8,81,2.55,67,3,2,1,2,6,5,0.16,3,0,1,0,0,1
9,Matthis Abline,fr,FW,Nantes,Ligue 1,20,2003,11.6,38,3.28,30,0,5,2,1,0,2,0.17,0,0,1,0,1,0
10,Abner,br,DF,Betis,La Liga,23,2000,15.6,14,0.90,13,0,0,1,0,0,0,0.00,0,0,0,0,0,0
11,Zakaria Aboukhlal,ma,MF/FW,Toulouse,Ligue 1,23,2000,8.4,20,2.39,10,0,2,3,3,2,2,0.24,0,0,0,1,1,0
12,Abdel Abqar,ma,DF,Alavés,La Liga,24,1999,25.7,12,0.47,9,0,0,2,1,0,0,0.00,0,0,0,0,0,0
13,Tammy Abraham,eng,FW,Roma,it Serie A,25,1997,2.7,3,1.12,1,0,0,0,1,1,1,0.37,0,0,0,0,1,0
14,Francesco Acerbi,it,DF,Inter,it Serie A,35,1988,26.5,22,0.83,19,0,0,3,0,0,1,0.04,1,0,0,0,0,0
15,Joshua Acheampong,eng,DF,Chelsea,Premier League,17,2006,0.1,1,15.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
16,Marcos Acuña,ar,DF,Sevilla,La Liga,31,1991,14.4,49,3.42,28,15,3,0,2,1,4,0.28,1,3,0,0,0,0
17,Akor Adams,ng,FW,Montpellier,Ligue 1,23,2000,25.0,43,1.72,29,0,5,8,1,0,3,0.12,0,0,2,1,0,0
18,Tyler Adams,us,MF,Bournemouth,Premier League,24,1999,1.3,3,2.25,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
19,Junior Adamu,at,FW/MF,Freiburg,Bundesliga,22,2001,1.2,2,1.73,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
20,Sargis Adamyan,am,FW/MF,Köln,Bundesliga,30,1993,8.9,31,3.48,22,0,1,1,6,1,3,0.34,1,0,0,1,1,0
