Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Max Aarons,eng,DF,,Bournemouth,Premier League,24,2000,0.2,2,11.25,2,0,0,0,0,0,0,0.00,2,0,0,0,0,0,Matches
2,Rodrigo Abajas,es,DF,,Valencia,La Liga,21,2003,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,James Abankwah,ie,DF,MF,Udinese,Serie A,20,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,Keyliane Abdallah,fr,FW,,Marseille,Ligue 1,18,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Yunis Abdelhamid,ma,DF,,Saint-Étienne,Ligue 1,37,1987,10.4,5,0.48,4,1,0,0,0,0,0,0.00,4,1,0,0,0,0,Matches
6,Himad Abdelli,dz,MF,FW,Angers,Ligue 1,25,1999,14.8,46,3.11,38,2,2,1,2,1,2,0.14,38,2,2,1,2,1,Matches
7,Mohamed Abdelmoneim,eg,DF,,Nice,Ligue 1,25,1999,5.8,3,0.52,3,0,0,0,0,0,0,0.00,3,0,0,0,0,0,Matches
8,Ali Abdi,tn,DF,MF,Nice,Ligue 1,30,1993,6.5,20,3.10,13,3,2,2,0,0,2,0.31,13,3,2,2,0,0,Matches
9,Saud Abdulhamid,sa,DF,,Roma,Serie A,25,1999,1.6,3,1.91,3,0,0,0,0,0,1,0.64,3,0,0,0,0,0,Matches
10,Abel,es,DF,FW,Osasuna,La Liga,24,2000,11.4,13,1.15,10,0,1,0,1,1,2,0.18,10,0,1,0,1,1,Matches
11,Nabil Aberdin,fr,MF,,Getafe,La Liga,22,2002,2.9,3,1.03,3,0,0,0,0,0,0,0.00,3,0,0,0,0,0,Matches
12,Oliver Abildgaard,dk,MF,,Como,Serie A,28,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
13,Matthis Abline,fr,FW,,Nantes,Ligue 1,21,2003,12.6,25,1.98,17,0,3,3,2,0,2,0.16,17,0,3,3,2,0,Matches
14,Abner,br,DF,,Lyon,Ligue 1,24,2000,7.3,14,1.93,11,3,0,0,0,0,0,0.00,11,3,0,0,0,0,Matches
15,Zakaria Aboukhlal,ma,MF,FW,Toulouse,Ligue 1,24,2000,13.1,23,1.75,13,0,4,4,1,1,4,0.30,13,0,4,4,1,1,Matches
16,Abdel Abqar,ma,DF,,Alavés,La Liga,25,1999,14.5,16,1.10,11,0,0,2,1,2,3,0.21,11,0,0,2,1,2,Matches
17,Tammy Abraham,eng,FW,,Roma,Serie A,27,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Tammy Abraham,eng,FW,,Milan,Serie A,27,1997,4.9,14,2.83,9,0,0,4,1,0,3,0.61,9,0,0,4,1,0,Matches
19,Federico Accornero,it,MF,,Genoa,Serie A,20,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Francesco Acerbi,it,DF,,Inter,Serie A,36,1988,7.4,7,0.94,7,0,0,0,0,0,1,0.13,7,0,0,0,0,0,Matches
21,Akor Adams,ng,FW,,Montpellier,Ligue 1,24,2000,10.2,22,2.15,17,0,3,1,1,0,4,0.39,17,0,3,1,1,0,Matches
22,Che Adams,sct,FW,,Torino,Serie A,28,1996,10.5,24,2.28,19,0,0,3,2,0,1,0.09,19,0,0,3,2,0,Matches
23,Tyler Adams,us,MF,,Bournemouth,Premier League,25,1999,4.1,11,2.69,8,0,0,0,0,3,0,0.00,8,0,0,0,0,3,Matches
24,Junior Adamu,at,FW,,Freiburg,Bundesliga,23,2001,8.9,21,2.34,16,0,1,2,2,0,3,0.33,16,0,1,2,2,0,Matches
25,Tosin Adarabioyo,eng,DF,,Chelsea,Premier League,27,1997,3.9,6,1.53,4,0,0,2,0,0,0,0.00,4,0,0,2,0,0,Matches
26,Martin Adeline,fr,MF,,Reims,Ligue 1,21,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
