Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Julen Agirrezabala,es,GK,,Athletic Club,La Liga,23,2000,6.4,5,1,2,1,0,5.3,0.31,+0.3,+0.05,24,80,30.0,148,27,34.5,32.5,39,74.4,52.6,81,13,16.0,8,1.25,14.2,Matches
2,Alisson,br,GK,,Liverpool,Premier League,32,1992,5.9,2,0,0,0,0,4.5,0.27,+2.5,+0.43,11,40,27.5,203,21,18.2,24.9,13,23.1,24.4,48,2,4.2,10,1.70,16.3,Matches
3,Alphonse Areola,fr,GK,,West Ham,Premier League,31,1993,7.5,14,0,0,2,1,9.4,0.30,-3.6,-0.47,49,111,44.1,220,32,34.1,31.2,66,54.5,42.3,111,7,6.3,10,1.33,14.4,Matches
4,Kepa Arrizabalaga,es,GK,,Bournemouth,Premier League,30,1994,5.0,7,0,0,0,0,7.8,0.30,+0.8,+0.15,26,50,52.0,130,21,28.5,32.4,31,41.9,35.1,52,5,9.6,6,1.20,12.8,Matches
5,Noah Atubolu,de,GK,,Freiburg,Bundesliga,22,2002,5.0,5,0,0,0,0,5.1,0.37,+0.1,+0.02,31,78,39.7,207,24,34.3,34.1,16,43.8,44.8,63,4,6.3,12,2.40,17.2,Matches
6,Emil Audero,it,GK,,Como,Serie A,27,1997,6.0,11,3,0,1,0,8.9,0.29,-2.1,-0.35,15,48,31.3,188,20,23.4,29.2,16,25.0,30.1,73,5,6.8,8,1.33,13.9,Matches
7,Augusto Batalla,ar,GK,,Rayo Vallecano,La Liga,28,1996,6.0,5,0,0,1,0,5.4,0.26,+0.4,+0.07,33,94,35.1,161,23,44.7,39.7,38,57.9,49.1,93,9,9.7,3,0.50,12.1,Matches
8,Oliver Baumann,de,GK,,Hoffenheim,Bundesliga,34,1990,7.0,17,1,0,3,0,18.3,0.40,+1.3,+0.18,33,101,32.7,222,32,38.7,35.3,35,42.9,38.5,120,5,4.2,8,1.14,14.4,Matches
9,Dimitry Bertaud,cd,GK,,Montpellier,Ligue 1,26,1998,3.0,8,1,0,0,0,6.3,0.36,-1.7,-0.56,18,42,42.9,66,14,42.4,36.5,25,56.0,44.8,43,8,18.6,2,0.67,12.8,Matches
10,Marco Bizot,nl,GK,,Brest,Ligue 1,33,1991,8.0,14,3,0,0,1,10.8,0.25,-2.2,-0.28,65,160,40.6,229,23,49.8,38.9,60,76.7,55.6,115,6,5.2,7,0.88,13.8,Matches
11,Marcin Bułka,pl,GK,,Nice,Ligue 1,25,1999,8.0,8,1,0,1,1,11.1,0.25,+4.1,+0.52,22,59,37.3,237,43,19.4,26.8,44,29.5,29.1,111,9,8.1,4,0.50,10.5,Matches
12,Elia Caprile,it,GK,,Napoli,Serie A,23,2001,3.6,1,0,0,0,0,2.2,0.27,+1.2,+0.32,11,25,44.0,82,9,25.6,31.7,15,26.7,30.7,31,3,9.7,3,0.83,13.7,Matches
13,Cárdenas,es,GK,,Rayo Vallecano,La Liga,27,1997,4.0,5,0,0,0,0,3.9,0.35,-1.1,-0.27,21,63,33.3,71,13,60.6,45.5,31,64.5,49.4,57,1,1.8,1,0.25,10.8,Matches
14,Marco Carnesecchi,it,GK,,Atalanta,Serie A,24,2000,7.0,13,0,0,2,2,9.6,0.35,-1.4,-0.19,24,80,30.0,174,23,29.9,32.9,41,68.3,50.0,54,4,7.4,13,1.86,17.8,Matches
15,Lucas Chevalier,fr,GK,,Lille,Ligue 1,22,2001,8.0,8,1,0,0,0,10.1,0.29,+2.1,+0.26,25,65,38.5,202,29,28.2,29.6,31,25.8,31.4,71,6,8.5,4,0.50,14.2,Matches
16,Leandro Chichizola,ar,GK,,Parma,Serie A,34,1990,1.0,3,0,0,0,0,2.5,0.43,-0.5,-0.54,3,16,18.8,41,5,31.7,33.9,8,37.5,34.4,21,2,9.5,2,2.00,16.3,Matches
17,Jasper Cillessen,nl,GK,,Las Palmas,La Liga,35,1989,8.0,15,3,0,2,1,14.3,0.26,+0.3,+0.04,30,97,30.9,305,47,28.5,29.3,34,29.4,34.9,120,5,4.2,10,1.25,18.0,Matches
18,Diego Conde,es,GK,,Villarreal,La Liga,25,1998,10.0,18,1,1,4,1,12.5,0.25,-4.5,-0.45,33,81,40.7,219,29,28.8,32.2,42,42.9,41.2,156,10,6.4,4,0.40,10.7,Matches
19,Thibaut Courtois,be,GK,,Real Madrid,La Liga,32,1992,9.0,7,0,0,1,1,7.4,0.31,+1.4,+0.16,16,56,28.6,271,55,14.8,27.2,40,40.0,42.1,99,7,7.1,4,0.44,9.9,Matches
20,Arthur Desmas,fr,GK,,Le Havre,Ligue 1,30,1994,9.0,20,1,1,0,0,21.0,0.39,+1.0,+0.12,34,86,39.5,212,42,32.1,32.4,49,36.7,34.4,120,6,5.0,5,0.56,13.0,Matches
21,Michele Di Gregorio,it,GK,,Juventus,Serie A,27,1997,6.0,1,1,0,0,0,1.5,0.09,+0.5,+0.08,16,37,43.2,155,25,16.1,26.9,27,44.4,39.8,69,9,13.0,2,0.33,10.3,Matches
22,Yehvann Diouf,fr,GK,,Reims,Ligue 1,24,1999,8.0,12,0,0,2,0,14.4,0.31,+2.4,+0.30,29,108,26.9,264,36,31.1,33.2,39,66.7,48.2,121,5,4.1,4,0.50,12.0,Matches
23,Marko Dmitrović,rs,GK,,Leganés,La Liga,32,1992,4.0,5,1,0,0,0,6.5,0.30,+1.5,+0.39,24,82,29.3,89,13,59.6,46.4,38,76.3,59.0,68,5,7.4,3,0.75,11.2,Matches
24,Gianluigi Donnarumma,it,GK,,Paris S-G,Ligue 1,25,1999,6.0,6,1,0,2,0,6.8,0.27,+0.8,+0.13,12,39,30.8,159,27,15.7,25.0,28,50.0,34.3,57,2,3.5,6,1.00,17.6,Matches
25,Patrick Drewes,de,GK,,Bochum,Bundesliga,31,1993,7.0,17,1,0,1,0,17.4,0.39,+0.4,+0.06,92,190,48.4,253,23,55.7,38.9,57,86.0,56.2,114,6,5.3,13,1.86,14.4,Matches
26,Ederson,br,GK,,Manchester City,Premier League,31,1993,8.0,9,1,0,1,1,9.6,0.38,+1.6,+0.20,23,57,40.4,248,23,20.6,28.1,17,35.3,36.0,70,1,1.4,17,2.13,18.9,Matches
27,Łukasz Fabiański,pl,GK,,West Ham,Premier League,39,1985,0.5,1,0,0,0,0,1.2,0.40,+0.2,+0.42,1,4,25.0,6,3,33.3,37.5,2,100.0,76.5,6,0,0.0,0,0.00,6.0,Matches
28,Wladimiro Falcone,it,GK,,Lecce,Serie A,29,1995,8.0,18,2,2,1,0,13.3,0.28,-4.7,-0.59,44,115,38.3,189,35,48.1,37.0,40,60.0,45.0,123,4,3.3,8,1.00,12.2,Matches
29,Álvaro Fernández,es,GK,,Sevilla,La Liga,26,1998,0.3,0,0,0,0,0,0.0,,0.0,0.00,2,17,11.8,18,1,77.8,46.7,3,100.0,70.3,13,0,0.0,1,3.33,14.0,Matches
30,Mark Flekken,nl,GK,,Brentford,Premier League,31,1993,8.0,15,0,0,0,1,13.1,0.24,-0.9,-0.11,64,141,45.4,388,29,31.4,33.7,33,57.6,47.6,110,6,5.5,15,1.88,14.6,Matches
31,Yahia Fofana,ci,GK,,Angers,Ligue 1,24,2000,8.0,14,0,0,1,0,15.3,0.34,+1.3,+0.16,32,105,30.5,179,39,40.2,36.1,58,56.9,43.7,107,13,12.1,8,1.00,11.3,Matches
32,Joan García,es,GK,,Espanyol,La Liga,23,2001,11.0,19,1,0,4,0,21.4,0.31,+2.4,+0.22,43,140,30.7,306,63,34.6,34.9,56,60.7,48.3,186,13,7.0,12,1.09,13.2,Matches
33,Paulo Gazzaniga,ar,GK,,Girona,La Liga,32,1992,10.0,13,0,1,1,0,10.1,0.24,-2.9,-0.29,17,61,27.9,292,43,15.4,27.0,52,30.8,33.6,100,9,9.0,12,1.20,16.9,Matches
34,David de Gea,es,GK,,Fiorentina,Serie A,33,1990,5.0,5,0,0,0,0,5.6,0.16,+0.6,+0.13,25,57,43.9,121,18,35.5,33.4,34,41.2,38.3,71,2,2.8,1,0.20,8.0,Matches
35,Pierluigi Gollini,it,GK,,Genoa,Serie A,29,1995,7.0,15,3,0,1,0,12.2,0.29,-2.8,-0.39,33,75,44.0,198,21,24.7,30.4,52,50.0,44.4,92,2,2.2,2,0.29,9.6,Matches
36,Kamil Grabara,pl,GK,,Wolfsburg,Bundesliga,25,1999,7.0,16,1,0,3,1,16.2,0.35,+1.2,+0.17,57,179,31.8,252,21,59.5,42.8,32,90.6,63.4,87,2,2.3,4,0.57,12.2,Matches
37,Dominik Greif,sk,GK,,Mallorca,La Liga,27,1997,7.0,7,0,0,1,0,6.1,0.23,-0.9,-0.12,33,93,35.5,173,26,41.6,37.9,36,58.3,46.8,96,2,2.1,2,0.29,9.3,Matches
38,Vicente Guaita,es,GK,,Celta Vigo,La Liga,37,1987,6.0,8,0,0,0,0,6.5,0.31,-1.5,-0.25,15,45,33.3,120,39,23.3,29.5,36,47.2,41.4,89,8,9.0,3,0.50,11.0,Matches
39,Péter Gulácsi,hu,GK,,RB Leipzig,Bundesliga,34,1990,7.0,2,0,0,0,0,5.3,0.17,+3.3,+0.47,19,47,40.4,164,24,21.3,28.9,48,25.0,31.0,95,7,7.4,4,0.57,12.8,Matches
40,Dean Henderson,eng,GK,,Crystal Palace,Premier League,27,1997,8.0,11,0,0,0,0,12.9,0.37,+1.9,+0.24,17,90,18.9,170,38,38.8,33.8,67,35.8,34.8,109,6,5.5,12,1.50,15.3,Matches
41,Mads Hermansen,dk,GK,,Leicester City,Premier League,24,2000,9.0,17,1,0,0,1,19.7,0.35,+3.7,+0.41,43,123,35.0,266,52,34.2,33.7,58,55.2,42.7,177,10,5.6,11,1.22,13.6,Matches
42,Sergio Herrera,es,GK,,Osasuna,La Liga,31,1993,10.0,16,0,0,2,1,14.8,0.34,-0.2,-0.02,64,169,37.9,270,32,45.9,39.4,76,59.2,49.5,150,11,7.3,35,3.50,20.4,Matches
43,Dinko Horkaš,hr,GK,,Las Palmas,La Liga,25,1999,2.0,4,0,0,0,0,3.1,0.32,-0.9,-0.44,6,14,42.9,73,7,15.1,26.1,7,42.9,30.4,26,0,0.0,6,3.00,24.4,Matches
44,Lukáš Hrádecký,fi,GK,,Leverkusen,Bundesliga,34,1989,6.0,10,2,0,2,1,7.2,0.24,-1.8,-0.30,20,47,42.6,131,23,27.5,30.0,31,35.5,33.3,59,3,5.1,6,1.00,15.1,Matches
45,Karl Jakob Hein,ee,GK,,Valladolid,La Liga,22,2002,10.0,21,0,1,1,1,17.1,0.32,-2.9,-0.29,50,133,37.6,305,49,33.4,34.1,54,57.4,50.5,146,11,7.5,14,1.40,15.9,Matches
46,Vitezslav Jaros,cz,GK,,Liverpool,Premier League,23,2001,0.1,0,0,0,0,0,0.0,0.03,0.0,+0.25,5,7,71.4,7,2,85.7,50.9,1,100.0,59.0,2,0,0.0,0,0.00,11.0,Matches
47,Karl-Johan Johnsson,se,GK,,Strasbourg,Ligue 1,34,1990,3.0,6,1,0,0,0,6.7,0.26,+0.7,+0.22,6,22,27.3,122,21,15.6,23.9,7,42.9,39.7,48,2,4.2,3,1.00,11.1,Matches
48,Sam Johnstone,eng,GK,,Wolves,Premier League,31,1993,5.0,13,2,0,3,0,11.6,0.32,-1.4,-0.29,35,89,39.3,186,22,42.5,35.3,19,52.6,42.0,74,4,5.4,6,1.20,12.6,Matches
49,Jesse Joronen,fi,GK,,Venezia,Serie A,31,1993,7.0,12,3,0,3,2,10.1,0.22,+0.1,+0.02,17,72,23.6,234,45,26.5,30.5,38,26.3,34.4,116,6,5.2,5,0.71,10.0,Matches
50,Caoimhín Kelleher,ie,GK,,Liverpool,Premier League,25,1998,2.0,1,0,0,0,0,2.4,0.30,+1.4,+0.70,7,26,26.9,81,12,27.2,27.9,7,57.1,41.0,31,1,3.2,1,0.50,12.3,Matches
