Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Brenden Aaronson,us,MF,FW,Leeds United,Premier League,21,2000,26.4,797,711,85,26,8,2,72,5,38,17,14,1,592,1,27
2,Paxten Aaronson,us,MF,DF,Eint Frankfurt,Bundesliga,18,2003,1.9,71,68,3,0,0,0,7,2,1,0,1,0,51,0,1
3,James Abankwah,ie,DF,,Udinese,Serie A,18,2004,0.7,29,22,7,3,0,1,0,4,0,0,0,0,23,0,0
4,George Abbott,eng,MF,,Tottenham,Premier League,16,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,Yunis Abdelhamid,ma,DF,,Reims,Ligue 1,34,1987,37.0,2031,1882,142,116,0,30,5,10,0,0,0,0,1679,7,20
6,Himad Abdelli,dz,MF,FW,Angers,Ligue 1,22,1999,23.7,1257,1193,60,20,8,6,35,16,10,3,1,0,1043,4,22
7,Salis Abdul Samed,gh,MF,,Lens,Ligue 1,22,2000,32.2,1981,1927,45,43,5,5,10,2,0,0,0,0,1819,9,15
8,Laurent Abergel,fr,MF,,Lorient,Ligue 1,29,1993,26.0,1483,1431,49,47,10,8,6,1,1,0,0,0,1308,3,14
9,Oliver Abildgaard,dk,MF,,Hellas Verona,Serie A,26,1996,6.6,195,194,0,0,0,1,5,0,0,0,0,0,115,1,2
10,Matthis Abline,fr,FW,MF,Auxerre,Ligue 1,19,2003,9.0,105,91,13,0,0,2,6,0,0,0,0,0,69,1,3
11,Matthis Abline,fr,FW,MF,Rennes,Ligue 1,19,2003,1.2,15,15,0,0,1,0,2,0,0,0,0,0,7,0,1
12,Abner,br,DF,,Betis,La Liga,22,2000,6.7,351,275,75,1,0,2,13,74,0,0,0,0,252,1,15
13,Zakaria Aboukhlal,ma,FW,MF,Toulouse,Ligue 1,22,2000,27.5,777,744,28,1,1,1,29,22,1,0,0,0,576,5,46
14,Tammy Abraham,eng,FW,,Roma,Serie A,24,1997,24.3,513,475,35,2,4,3,11,1,0,0,0,0,342,3,8
15,Christian Acella,it,MF,,Cremonese,Serie A,20,2002,0.2,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0
16,Francesco Acerbi,it,DF,,Inter,Serie A,34,1988,26.9,1644,1546,93,41,1,10,22,21,0,0,0,0,1455,5,4
17,Álvaro Aceves,es,GK,,Valladolid,La Liga,19,2003,0.1,8,7,1,0,0,0,0,0,0,0,0,0,7,0,0
18,Mohamed Achi,fr,FW,,Nantes,Ligue 1,20,2002,0.4,21,20,1,0,0,0,1,0,1,0,1,0,18,0,0
19,Marcos Acuña,ar,DF,,Sevilla,La Liga,30,1991,21.2,1307,1048,257,49,3,14,147,174,34,7,22,0,970,2,25
20,Che Adams,sct,FW,,Southampton,Premier League,26,1996,22.1,498,490,7,0,6,7,12,4,0,0,0,0,330,1,17
21,Tyler Adams,us,MF,,Leeds United,Premier League,23,1999,24.0,1343,1271,72,58,1,2,2,14,0,0,0,0,1108,0,24
22,Sargis Adamyan,am,FW,MF,Köln,Bundesliga,29,1993,7.2,179,159,19,0,1,1,13,6,0,0,0,0,123,1,8
23,Tosin Adarabioyo,eng,DF,,Fulham,Premier League,24,1997,23.2,1300,1235,58,47,2,12,2,7,0,0,0,0,1066,7,10
24,Martin Adeline,fr,MF,FW,Reims,Ligue 1,18,2003,1.2,41,38,3,1,0,0,0,1,1,0,0,0,29,0,1
25,Karim Adeyemi,de,FW,MF,Dortmund,Bundesliga,20,2002,15.4,457,431,23,3,2,1,25,12,8,7,1,0,335,3,21
26,Amine Adli,ma,FW,MF,Leverkusen,Bundesliga,22,2000,15.9,565,535,23,4,3,2,18,5,8,2,2,0,427,7,19
