Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Max Aarons,eng,DF,Bournemouth,Premier League,23,2000,13.7,581,453,127,11,2,3,13,116,0,0,0,0,450,1,23
2,Brenden Aaronson,us,"MF,FW",Union Berlin,Bundesliga,22,2000,14.1,472,439,29,3,5,1,22,12,6,2,3,0,365,4,21
3,Paxten Aaronson,us,MF,Eint Frankfurt,Bundesliga,19,2003,1.1,50,48,2,1,0,0,0,1,0,0,0,0,41,0,0
4,Keyliane Abdallah,fr,FW,Marseille,Ligue 1,17,2006,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,Yunis Abdelhamid,ma,DF,Reims,Ligue 1,35,1987,30.9,1836,1650,178,75,2,13,3,29,0,0,0,0,1552,8,20
6,Salis Abdul Samed,gh,MF,Lens,Ligue 1,23,2000,16.9,895,875,18,17,0,1,3,1,0,0,0,0,796,2,17
7,Nabil Aberdin,fr,DF,Getafe,La Liga,20,2002,2.0,79,75,4,4,0,1,0,0,0,0,0,0,60,0,0
8,Laurent Abergel,fr,MF,Lorient,Ligue 1,30,1993,31.8,1836,1743,88,68,6,13,34,14,0,0,0,0,1551,5,25
9,Matthis Abline,fr,FW,Nantes,Ligue 1,20,2003,11.6,231,218,12,0,2,1,7,1,0,0,0,0,162,1,11
10,Abner,br,DF,Betis,La Liga,23,2000,15.6,797,628,165,7,0,3,26,158,0,0,0,0,615,4,23
11,Zakaria Aboukhlal,ma,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,196,185,11,1,0,0,5,9,0,0,0,0,140,0,7
12,Abdel Abqar,ma,DF,Alavés,La Liga,24,1999,25.7,762,704,55,50,0,17,2,4,0,0,0,0,553,3,10
13,Tammy Abraham,eng,FW,Roma,it Serie A,25,1997,2.7,40,37,2,0,0,0,2,0,0,0,0,0,19,1,1
14,Francesco Acerbi,it,DF,Inter,it Serie A,35,1988,26.5,1781,1719,60,43,0,11,9,8,0,0,0,0,1615,2,5
15,Joshua Acheampong,eng,DF,Chelsea,Premier League,17,2006,0.1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0
16,Marcos Acuña,ar,DF,Sevilla,La Liga,31,1991,14.4,847,672,173,32,1,11,82,122,19,7,12,0,628,2,16
17,Akor Adams,ng,FW,Montpellier,Ligue 1,23,2000,25.0,385,375,10,0,2,1,12,1,0,0,0,0,250,0,20
18,Tyler Adams,us,MF,Bournemouth,Premier League,24,1999,1.3,71,67,4,3,0,1,1,1,0,0,0,0,59,0,0
19,Junior Adamu,at,"FW,MF",Freiburg,Bundesliga,22,2001,1.2,30,29,1,0,0,0,1,0,0,0,0,0,18,0,0
20,Sargis Adamyan,am,"FW,MF",Köln,Bundesliga,30,1993,8.9,189,166,22,1,0,2,4,2,0,0,0,0,132,1,6
21,Tosin Adarabioyo,eng,DF,Fulham,Premier League,25,1997,18.0,1216,1181,33,28,1,9,1,2,0,0,0,0,1028,2,8
22,Elijah Adebayo,eng,FW,Luton Town,Premier League,25,1998,15.8,204,202,1,0,1,0,5,1,0,0,0,0,144,1,5
23,Karim Adeyemi,de,"FW,MF",Dortmund,Bundesliga,21,2002,10.1,299,280,19,3,0,1,25,11,4,1,2,0,218,0,16
24,Simon Adingra,ci,FW,Brighton,Premier League,21,2002,24.7,840,815,23,3,7,2,76,15,5,0,1,0,634,2,29
25,Nathaniel Adjei,gh,DF,Lorient,Ligue 1,20,2002,13.8,669,628,40,27,0,3,2,11,0,0,0,0,578,1,5
26,Amine Adli,ma,"MF,FW",Leverkusen,Bundesliga,23,2000,10.0,459,447,11,2,2,1,23,7,0,0,0,0,367,1,10
27,Yacine Adli,fr,MF,Milan,it Serie A,23,2000,15.6,1300,1220,78,36,3,16,50,7,35,11,12,0,1125,2,14
28,Adryelson,br,"DF,FW",Lyon,Ligue 1,25,1998,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
29,Adson,br,"MF,FW",Nantes,Ligue 1,22,2000,2.6,130,128,2,0,0,0,2,2,0,0,0,0,115,0,2
30,Michel Aebischer,ch,MF,Bologna,it Serie A,26,1997,24.8,1503,1447,53,34,3,5,12,13,6,3,0,0,1370,3,17
31,Emmanuel Agbadou,ci,DF,Reims,Ligue 1,26,1997,28.8,1838,1728,106,50,5,11,6,48,0,0,0,0,1599,4,11
32,Julen Agirrezabala,es,GK,Athletic Club,La Liga,22,2000,2.6,100,72,28,6,0,0,0,0,0,0,0,0,67,0,1
33,Lucien Agoume,fr,MF,Inter,it Serie A,21,2002,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
34,Lucien Agoume,fr,MF,Sevilla,La Liga,21,2002,8.6,360,356,4,4,1,2,2,0,0,0,0,0,301,0,6
35,Felix Agu,de,"DF,MF",Werder Bremen,Bundesliga,23,1999,17.9,669,538,128,3,0,2,46,124,1,0,0,0,488,3,30
36,Nayef Aguerd,ma,DF,West Ham,Premier League,27,1996,20.6,1177,1100,75,55,1,29,5,6,0,0,0,0,943,2,5
37,Ruben Aguilar,fr,DF,Lens,Ligue 1,30,1993,21.4,1282,1094,185,17,3,1,75,168,0,0,0,0,1044,3,35
38,Brandon Aguilera,cr,FW,Nott'ham Forest,Premier League,20,2003,0.1,8,8,0,0,0,0,0,0,0,0,0,0,4,0,1
39,Naouirou Ahamada,fr,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,187,183,4,1,0,0,6,2,0,0,0,0,150,0,8
40,Anel Ahmedhodžić,ba,DF,Sheffield Utd,Premier League,24,1999,29.4,988,950,36,11,1,2,6,25,0,0,0,0,745,2,20
41,Joseph Aidoo,gh,DF,Celta Vigo,La Liga,27,1995,4.5,185,175,10,6,1,0,0,4,0,0,0,0,145,0,0
42,Ola Aina,ng,DF,Nott'ham Forest,Premier League,26,1996,18.8,802,649,150,12,2,2,28,138,0,0,0,0,603,3,17
43,Rayan Aït-Nouri,dz,"DF,MF",Wolves,Premier League,22,2001,25.9,1190,1047,138,24,2,5,41,106,8,5,2,0,1005,5,24
44,Tosin Aiyegun,bj,"MF,FW",Lorient,Ligue 1,25,1998,10.0,203,193,7,0,0,0,8,1,0,0,0,0,154,3,4
45,Kristoffer Ajer,no,DF,Brentford,Premier League,25,1998,20.4,810,730,79,9,1,9,22,65,0,0,0,0,610,1,11
46,Ludovic Ajorque,fr,FW,Mainz 05,Bundesliga,29,1994,15.1,453,423,28,2,2,4,3,0,0,0,0,0,318,2,6
47,Manuel Akanji,ch,"DF,MF",Manchester City,Premier League,28,1995,27.9,2334,2261,71,34,4,15,9,27,0,0,0,0,2180,2,10
48,Marley Aké,fr,FW,Udinese,it Serie A,22,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Nathan Aké,nl,DF,Manchester City,Premier League,28,1995,22.7,1864,1744,118,32,1,3,11,81,0,0,0,0,1716,2,14
50,Ilias Akhomach,ma,"MF,FW",Villarreal,La Liga,19,2004,16.8,481,464,14,5,4,2,29,5,4,1,1,0,372,3,14
51,Sergio Akieme,es,DF,Almería,La Liga,25,1997,18.6,801,630,169,19,1,5,57,148,2,0,1,0,620,2,22
52,Sergio Akieme,es,DF,Reims,Ligue 1,25,1997,9.1,350,287,61,3,0,0,21,57,0,0,0,0,277,2,8
53,Ebenezer Akinsanmiro,ng,MF,Inter,it Serie A,18,2004,0.2,8,7,1,1,0,0,0,0,0,0,0,0,7,0,0
54,Maghnes Akliouche,fr,"MF,FW",Monaco,Ligue 1,21,2002,17.9,833,773,54,12,8,2,54,3,37,14,8,0,645,6,24
55,Paul Akouokou,ci,MF,Betis,La Liga,25,1997,0.3,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0
56,Paul Akouokou,ci,MF,Lyon,Ligue 1,25,1997,3.4,185,183,2,2,0,0,0,0,0,0,0,0,158,0,2
57,Jean-Daniel Akpa-Akpro,ci,MF,Monza,it Serie A,30,1992,7.8,263,260,3,1,1,1,1,0,0,0,0,0,220,0,11
58,David Akpan Ankeye,ng,FW,Genoa,it Serie A,21,2002,0.6,9,9,0,0,0,0,1,0,0,0,0,0,8,0,0
59,Kevin Akpoguma,ng,DF,Hoffenheim,Bundesliga,28,1995,12.2,711,680,30,17,0,2,4,13,0,0,0,0,611,1,6
60,David Alaba,at,DF,Real Madrid,La Liga,31,1992,12.8,904,835,65,23,4,7,17,5,12,7,3,0,810,4,2
61,Luis Alberto,es,MF,Lazio,it Serie A,30,1992,25.7,1679,1452,215,71,14,6,150,13,114,45,54,0,1303,12,28
62,Raúl Albiol,es,DF,Villarreal,La Liga,37,1985,22.6,1272,1207,61,45,0,6,0,3,0,0,0,0,1095,4,8
