Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90
1,Max Aarons,eng,DF,Norwich City,Premier League,21,2000,0,0,0,0,34,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
2,Yunis Abdelhamid,ma,DF,Reims,Ligue 1,33,1987,0,0,0,0,34,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
3,Salis Abdul Samed,gh,MF,Clermont Foot,Ligue 1,21,2000,0,0,0,0,31,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
4,Suleiman Abdullahi,ng,FW,Union Berlin,Bundesliga,24,1996,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
5,Laurent Abergel,fr,MF,Lorient,Ligue 1,28,1993,0,0,0,0,34,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
6,Charles Abi,fr,FW,Saint-Étienne,Ligue 1,21,2000,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
7,Dickson Abiama,ng,FW,Greuther Fürth,Bundesliga,22,1998,0,0,0,0,24,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
8,Matthis Abline,fr,FW,Rennes,Ligue 1,18,2003,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
9,Abdel Abqar,ma,DF,Alavés,La Liga,22,1999,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
10,Tammy Abraham,eng,FW,Chelsea,Premier League,23,1997,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
11,Tammy Abraham,eng,FW,Roma,it Serie A,23,1997,0,0,0,0,37,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
12,Luis Abram,pe,DF,Granada,La Liga,25,1996,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
13,Salim Abubakar,ne,MF,Sassuolo,it Serie A,18,2003,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
14,Francesco Acerbi,it,DF,Lazio,it Serie A,33,1988,0,0,0,0,30,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
15,Ragnar Ache,de,MF,Eint Frankfurt,Bundesliga,23,1998,0,0,0,0,13,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
16,Mohamed Achi,fr,MF,Nantes,Ligue 1,19,2002,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
17,Marcos Acuña,ar,DF,Sevilla,La Liga,29,1991,0,0,0,0,31,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
18,Marius Adamonis,lt,GK,Lazio,it Serie A,24,1997,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
19,Che Adams,sct,FW,Southampton,Premier League,25,1996,0,0,0,0,30,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
20,Tyler Adams,us,MF,RB Leipzig,Bundesliga,22,1999,0,0,0,0,24,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
21,Sargis Adamyan,am,FW,Hoffenheim,Bundesliga,28,1993,0,0,0,0,13,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
22,Tayo Adaramola,ie,DF,Crystal Palace,Premier League,17,2003,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
23,Martin Adeline,fr,MF,Reims,Ligue 1,17,2003,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
24,Amine Adli,ma,FW,Leverkusen,Bundesliga,21,2000,0,0,0,0,25,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
25,Yacine Adli,fr,MF,Bordeaux,Ligue 1,21,2000,0,0,0,0,36,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
26,Adrián,es,GK,Liverpool,Premier League,34,1987,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
27,Michel Aebischer,ch,MF,Bologna,it Serie A,24,1997,0,0,0,0,12,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
28,Felix Afena-Gyan,gh,FW,Roma,it Serie A,18,2003,0,0,0,0,17,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
29,Martin Agirregabiria,es,DF,Alavés,La Liga,25,1996,0,0,0,0,24,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
30,Julen Agirrezabala,es,GK,Athletic Club,La Liga,20,2000,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
