Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Matches
1,Max Aarons,eng,DF,Bournemouth,Premier League,24,2000,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
2,Álvaro Abajas,es,GK,Leganés,La Liga,21,2003,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
3,Rodrigo Abajas,es,DF,Valencia,La Liga,21,2003,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
4,James Abankwah,ie,DF,Udinese,it Serie A,20,2004,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
5,Keyliane Abdallah,fr,FW,Marseille,Ligue 1,18,2006,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
6,Yunis Abdelhamid,ma,DF,Saint-Étienne,Ligue 1,37,1987,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
7,Himad Abdelli,dz,MF,Angers,Ligue 1,25,1999,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
8,Mohamed Abdelmoneim,eg,DF,Nice,Ligue 1,25,1999,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
9,Ali Abdi,tn,DF,Nice,Ligue 1,30,1993,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
10,Saud Abdulhamid,sa,DF,Roma,it Serie A,25,1999,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
11,Abel,es,DF,Osasuna,La Liga,24,2000,0,0,0,0,16,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
12,Nabil Aberdin,fr,MF,Getafe,La Liga,22,2002,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
13,Oliver Abildgaard,dk,MF,Como,it Serie A,28,1996,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
14,Matthis Abline,fr,FW,Nantes,Ligue 1,21,2003,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
15,Abner,br,DF,Lyon,Ligue 1,24,2000,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
16,Zakaria Aboukhlal,ma,MF,Toulouse,Ligue 1,24,2000,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
17,Abdel Abqar,ma,DF,Alavés,La Liga,25,1999,0,0,0,0,16,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
18,Tammy Abraham,eng,FW,Roma,it Serie A,27,1997,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
19,Tammy Abraham,eng,FW,Milan,it Serie A,27,1997,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
20,Mathieu Acapandié,fr,DF,Nantes,Ligue 1,20,2004,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
21,Federico Accornero,it,MF,Genoa,it Serie A,20,2004,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
22,Francesco Acerbi,it,DF,Inter,it Serie A,36,1988,0,0,0,0,9,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
23,Álvaro Aceves,es,GK,Valladolid,La Liga,21,2003,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
24,Joshua Acheampong,eng,DF,Chelsea,Premier League,18,2006,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
25,Akor Adams,ng,FW,Montpellier,Ligue 1,24,2000,0,0,0,0,13,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
26,Che Adams,sct,FW,Torino,it Serie A,28,1996,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
