Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Matches
1,Max Aarons,eng,DF,,Bournemouth,Premier League,24,2000,1,16,16,1.1,0.2,0,,0,1,16,9,0.00,1,0,+1,+5.63,+5.50,0.9,0.0,+0.9,+4.96,Matches
2,Álvaro Abajas,es,GK,,Leganés,La Liga,21,2003,0,,,,,0,,0,0,,13,,,,,,,,,,,Matches
3,Rodrigo Abajas,es,DF,,Valencia,La Liga,21,2003,1,65,65,4.5,0.7,1,65,0,0,,8,0.00,1,2,-1,-1.38,-0.80,1.4,0.7,+0.7,+0.93,Matches
4,James Abankwah,ie,DF,MF,Udinese,it Serie A,20,2004,4,24,6,1.7,0.3,0,,0,4,6,12,1.50,0,0,0,0.00,+0.38,0.1,0.3,-0.2,-0.84,Matches
5,Keyliane Abdallah,fr,FW,,Marseille,Ligue 1,18,2006,1,3,3,0.2,0.0,0,,0,1,3,6,3.00,0,0,0,0.00,-0.94,0.0,0.0,0.0,-0.49,Matches
6,Yunis Abdelhamid,ma,DF,,Saint-Étienne,Ligue 1,37,1987,11,936,85,69.3,10.4,11,85,9,0,,4,0.55,4,28,-24,-2.31,-2.74,7.5,24.2,-16.8,-1.61,Matches
7,Himad Abdelli,dz,MF,FW,Angers,Ligue 1,25,1999,15,"1,330",89,98.5,14.8,15,89,12,0,,0,0.87,12,26,-14,-0.95,-9.95,14.9,22.4,-7.5,-0.51,Matches
8,Mohamed Abdelmoneim,eg,DF,,Nice,Ligue 1,25,1999,7,518,74,38.4,5.8,6,83,5,1,23,2,1.57,7,8,-1,-0.17,-1.26,9.4,6.8,+2.6,+0.45,Matches
9,Ali Abdi,tn,DF,MF,Nice,Ligue 1,30,1993,8,581,73,43.0,6.5,6,90,5,2,21,0,1.63,9,5,+4,+0.62,+0.03,10.5,7.1,+3.4,+0.53,Matches
10,Saud Abdulhamid,sa,DF,,Roma,it Serie A,25,1999,3,142,47,9.9,1.6,1,61,0,2,41,11,1.00,3,1,+2,+1.27,+1.75,1.9,1.4,+0.5,+0.34,Matches
11,Abel,es,DF,FW,Osasuna,La Liga,24,2000,16,"1,022",64,66.8,11.4,11,87,8,5,14,1,1.56,12,19,-7,-0.62,-1.33,9.8,15.6,-5.8,-0.51,Matches
12,Nabil Aberdin,fr,MF,,Getafe,La Liga,22,2002,7,263,38,17.2,2.9,4,63,1,3,4,6,1.14,1,2,-1,-0.34,-0.20,1.8,1.6,+0.2,+0.07,Matches
13,Oliver Abildgaard,dk,MF,,Como,it Serie A,28,1996,1,7,7,0.5,0.1,0,,0,1,7,0,0.00,0,0,0,0.00,+0.63,0.0,0.0,0.0,-0.61,Matches
14,Matthis Abline,fr,FW,,Nantes,Ligue 1,21,2003,15,"1,137",76,84.2,12.6,14,80,2,1,23,0,0.93,12,18,-6,-0.47,-0.05,12.6,16.8,-4.2,-0.33,Matches
15,Abner,br,DF,,Lyon,Ligue 1,24,2000,10,654,65,48.4,7.3,8,80,3,2,9,5,1.70,10,9,+1,+0.14,-0.64,12.0,10.5,+1.6,+0.22,Matches
16,Zakaria Aboukhlal,ma,MF,FW,Toulouse,Ligue 1,24,2000,15,"1,181",79,87.5,13.1,14,82,5,1,27,0,1.40,14,14,0,0.00,0.00,18.8,12.4,+6.4,+0.49,Matches
17,Abdel Abqar,ma,DF,,Alavés,La Liga,25,1999,16,"1,308",82,85.5,14.5,16,82,12,0,,0,1.00,16,25,-9,-0.62,-0.62,14.8,19.5,-4.8,-0.33,Matches
18,Tammy Abraham,eng,FW,,Roma,it Serie A,27,1997,1,1,1,0.1,0.0,0,,0,1,1,1,1.00,0,0,0,0.00,+0.31,0.0,0.1,0.0,-3.09,Matches
19,Tammy Abraham,eng,FW,,Milan,it Serie A,27,1997,10,445,45,33.0,4.9,5,74,1,5,15,2,1.80,12,5,+7,+1.42,+1.32,11.1,4.0,+7.1,+1.44,Matches
20,Mathieu Acapandié,fr,DF,,Nantes,Ligue 1,20,2004,0,,,,,0,,0,0,,9,,,,,,,,,,,Matches
21,Federico Accornero,it,MF,,Genoa,it Serie A,20,2004,1,5,5,0.3,0.1,0,,0,1,5,11,0.00,0,0,0,0.00,+0.69,0.0,0.0,0.0,+0.71,Matches
22,Francesco Acerbi,it,DF,,Inter,it Serie A,36,1988,9,670,74,49.6,7.4,9,74,7,0,,2,2.22,16,9,+7,+0.94,-1.44,13.0,8.8,+4.1,+0.55,Matches
23,Álvaro Aceves,es,GK,,Valladolid,La Liga,21,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
24,Joshua Acheampong,eng,DF,,Chelsea,Premier League,18,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
25,Akor Adams,ng,FW,,Montpellier,Ligue 1,24,2000,13,922,71,68.3,10.2,11,80,6,2,22,0,0.62,11,26,-15,-1.46,+0.22,11.1,19.3,-8.1,-0.79,Matches
26,Che Adams,sct,FW,,Torino,it Serie A,28,1996,15,947,63,65.8,10.5,11,75,6,4,32,0,1.27,11,13,-2,-0.19,-0.01,9.8,14.9,-5.1,-0.48,Matches
27,Tyler Adams,us,MF,,Bournemouth,Premier League,25,1999,7,368,53,25.6,4.1,4,78,2,3,19,1,1.57,9,9,0,0.00,-0.25,11.3,5.2,+6.1,+1.50,Matches
28,Junior Adamu,at,FW,,Freiburg,Bundesliga,23,2001,11,805,73,63.9,8.9,10,78,3,1,29,0,1.55,13,12,+1,+0.11,+0.11,14.3,7.8,+6.6,+0.73,Matches
29,Tosin Adarabioyo,eng,DF,,Chelsea,Premier League,27,1997,6,353,59,24.5,3.9,4,81,3,2,16,10,2.17,12,4,+8,+2.04,+1.21,11.2,6.3,+4.9,+1.24,Matches
30,Vernon Addo,,MF,,Lecce,it Serie A,,,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
31,Wesley Adeh,de,MF,,Werder Bremen,Bundesliga,17,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
32,Martin Adeline,fr,MF,,Reims,Ligue 1,21,2003,1,26,26,1.9,0.3,0,,0,1,26,1,1.00,0,1,-1,-3.46,-3.67,0.1,1.0,-1.0,-3.42,Matches
33,Karim Adeyemi,de,FW,MF,Dortmund,Bundesliga,22,2002,6,350,58,27.8,3.9,4,68,1,2,40,0,1.83,8,7,+1,+0.26,-0.04,6.6,5.5,+1.1,+0.27,Matches
34,Raphaël Adiceam,fr,GK,,Auxerre,Ligue 1,34,1990,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
35,Simon Adingra,ci,FW,MF,Brighton,Premier League,22,2002,11,349,32,24.2,3.9,3,68,0,8,18,2,1.45,7,6,+1,+0.26,+0.26,5.7,6.2,-0.6,-0.15,Matches
36,Amine Adli,ma,MF,,Leverkusen,Bundesliga,24,2000,7,205,29,16.3,2.3,2,59,0,5,17,0,2.00,5,6,-1,-0.44,-1.55,6.5,2.7,+3.9,+1.70,Matches
37,Yacine Adli,fr,MF,,Fiorentina,it Serie A,24,2000,13,650,50,48.1,7.2,7,75,2,6,21,0,2.07,19,4,+15,+2.08,+1.82,11.7,8.0,+3.7,+0.51,Matches
38,Adrián,es,GK,,Betis,La Liga,37,1987,0,,,0.0,0.0,0,,0,0,,15,3.00,3,0,+3,,,,,,,Matches
39,Adryelson,br,DF,,Lyon,Ligue 1,26,1998,1,1,1,0.1,0.0,0,,0,1,1,2,3.00,0,0,0,0.00,-0.47,0.0,0.0,0.0,0.00,Matches
40,Vasilije Adžić,me,MF,,Juventus,it Serie A,18,2006,1,19,19,1.3,0.2,0,,0,1,19,7,3.00,1,0,+1,+4.74,+3.91,0.1,0.0,+0.1,+0.71,Matches
41,Michel Aebischer,ch,MF,,Bologna,it Serie A,27,1997,7,378,54,28.0,4.2,5,65,1,2,26,0,1.14,3,4,-1,-0.24,-0.61,2.6,4.6,-2.0,-0.47,Matches
42,Oladapo Afolayan,eng,FW,MF,St. Pauli,Bundesliga,26,1998,14,954,68,75.7,10.6,10,83,2,4,32,0,0.79,9,16,-7,-0.66,-0.37,9.6,14.8,-5.2,-0.49,Matches
43,Emmanuel Agbadou,ci,DF,,Reims,Ligue 1,27,1997,14,"1,260",90,93.3,14.0,14,90,14,0,,0,1.36,19,17,+2,+0.14,+0.14,18.0,21.0,-3.0,-0.22,Matches
44,Asher Agbinone,eng,MF,,Crystal Palace,Premier League,19,2005,2,6,3,0.4,0.1,0,,0,2,3,7,0.00,0,0,0,0.00,+0.25,0.1,0.0,+0.1,+1.71,Matches
45,Julen Agirrezabala,es,GK,,Athletic Club,La Liga,23,2000,14,"1,206",86,74.4,13.4,14,86,12,0,,2,2.21,22,9,+13,+0.97,+1.40,19.0,11.0,+8.0,+0.60,Matches
46,Lucien Agoume,fr,MF,,Sevilla,La Liga,22,2002,15,859,57,56.1,9.5,10,80,3,5,12,1,1.27,9,16,-7,-0.73,-1.00,9.6,14.6,-5.0,-0.53,Matches
47,Felix Agu,de,DF,,Werder Bremen,Bundesliga,25,1999,10,799,80,63.4,8.9,10,80,4,0,,0,1.50,14,20,-6,-0.68,-1.46,11.8,11.9,-0.1,-0.02,Matches
48,Álvaro Aguado,es,MF,,Espanyol,La Liga,28,1996,10,325,33,21.2,3.6,3,68,0,7,17,7,0.80,3,6,-3,-0.83,-0.08,3.5,6.5,-3.1,-0.85,Matches
49,Diego Aguado,es,DF,,Real Madrid,La Liga,17,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,Matches
50,Lorenzo Aguado,es,DF,,Real Madrid,La Liga,22,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,Matches
51,Nayef Aguerd,ma,DF,,Real Sociedad,La Liga,28,1996,13,"1,099",85,71.8,12.2,13,85,10,0,,0,1.62,13,7,+6,+0.49,+0.70,18.3,11.5,+6.9,+0.56,Matches
52,Lalo Aguilar,es,DF,,Leganés,La Liga,22,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
